"Code","LocationName"
1,"Lower San Joaquin Delta"
2,"Upper San Joaquin Delta"
3,"San Joaquin River - above Mossdale"
4,"Lower Sacramento Delta"
5,"Sacramento River - Courtland to Feather River"
6,"Northeast Delta"
7,"Suisun Bay"
8,"Suisun Marsh"
9,"Carquinez Strait"
10,"San Pablo Bay"
11,"Napa River & Marsh"
12,"North San Francisco Bay"
13,"Pacific Ocean"
14,"Unknown"
15,"Petaluma Creek & Marsh"
16,"Tomales Bay"
17,"South San Francisco Bay"
18,"San Francisco Bay"
19,"Sacramento River above Feather River"
20,"Feather River"
21,"San Luis Reservoir"
